accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.3285714387893677,0.4144144356250763,1.0562971830368042,0.3055555522441864,0.3333333432674408,0.699999988079071,0.5833333134651184,0.6695481538772583,1.0,0.25
0.4000000059604645,0.37714987993240356,1.142342209815979,0.3636363744735718,0.3636363744735718,0.6000000238418579,0.5625,0.6715632677078247,0.0,0.0
0.3857142925262451,0.37551188468933105,1.1850228309631348,0.3529411852359772,0.3636363744735718,0.6000000238418579,0.5833333730697632,0.6736049056053162,0.0,0.0
0.44285714626312256,0.474201500415802,0.9785422086715698,0.4000000059604645,0.3636363744735718,0.6000000238418579,0.5833333134651184,0.6742608547210693,0.0,0.0
0.5,0.5188369750976562,0.8784878253936768,0.47058823704719543,0.4848484992980957,0.6000000238418579,0.5625,0.6738796830177307,0.0,0.0
0.5428571701049805,0.5806715488433838,0.811609148979187,0.5135135054588318,0.5757575631141663,0.6000000238418579,0.5833333134651184,0.673868715763092,0.0,0.0
0.5714285969734192,0.5888616442680359,0.9151133894920349,0.5454545617103577,0.5454545617103577,0.699999988079071,0.5833333134651184,0.6745597720146179,1.0,0.25
0.37142857909202576,0.417280912399292,1.074209213256836,0.3513513505458832,0.39393940567970276,0.699999988079071,0.6041666269302368,0.6759383082389832,1.0,0.25
0.5714285969734192,0.5696150660514832,0.90792316198349,0.5405405163764954,0.6060606241226196,0.6000000238418579,0.5833333134651184,0.6777251362800598,0.5,0.25
0.48571428656578064,0.5585586428642273,0.9241470098495483,0.45945945382118225,0.5151515007019043,0.6000000238418579,0.5833333134651184,0.6782711744308472,0.5,0.25
0.5714285969734192,0.6076986193656921,0.816310703754425,0.5454545617103577,0.5454545617103577,0.6000000238418579,0.5625,0.6790858507156372,0.5,0.25
