epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5,0.5169752836227417,0.9778258800506592,0.5,0.4444444477558136,0.875,0.4285714030265808,0.506560742855072,0.0,0.0
1,0.5277777910232544,0.4891975522041321,1.0564045906066895,0.529411792755127,0.5,0.875,0.4285714030265808,0.5012186169624329,0.0,0.0
2,0.5138888955116272,0.4988425672054291,0.9788951873779297,0.5116279125213623,0.6111111044883728,0.875,0.4285714030265808,0.4979846477508545,0.0,0.0
3,0.4583333432674408,0.4710647761821747,1.0765061378479004,0.4545454680919647,0.4166666567325592,0.875,0.357142835855484,0.4935763478279114,0.0,0.0
4,0.5972222089767456,0.6323302388191223,0.8005867004394531,0.5945945978164673,0.6111111044883728,0.875,0.357142835855484,0.48742493987083435,0.0,0.0
5,0.4861111044883728,0.46990740299224854,1.0666484832763672,0.48571428656578064,0.4722222089767456,0.875,0.2857142686843872,0.483689546585083,0.0,0.0
6,0.6388888955116272,0.6678240895271301,0.6797552704811096,0.6388888955116272,0.6388888955116272,0.875,0.2857142686843872,0.4785129427909851,0.0,0.0
7,0.5,0.573688268661499,1.0047199726104736,0.5,0.4444444477558136,0.875,0.2857142686843872,0.4732684791088104,0.0,0.0
8,0.5694444179534912,0.6114969253540039,0.8042182922363281,0.5714285969734192,0.5555555820465088,0.875,0.2857142686843872,0.4702790677547455,0.0,0.0
9,0.5,0.53125,0.9287632703781128,0.5,0.4722222089767456,0.875,0.2857142686843872,0.4677243232727051,0.0,0.0
10,0.5277777910232544,0.5682870745658875,0.8829930424690247,0.529411792755127,0.5,0.875,0.2142857015132904,0.4652935862541199,0.0,0.0
11,0.625,0.6165123581886292,0.8061972856521606,0.6551724076271057,0.5277777910232544,0.875,0.2142857015132904,0.46321848034858704,0.0,0.0
12,0.5416666865348816,0.5640431642532349,0.8684940338134766,0.5428571701049805,0.5277777910232544,0.875,0.2142857015132904,0.45921167731285095,0.0,0.0
13,0.5416666865348816,0.5640432238578796,0.8853889107704163,0.5384615659713745,0.5833333134651184,0.875,0.2857142686843872,0.45564115047454834,0.0,0.0
14,0.4722222089767456,0.5231481194496155,0.95387202501297,0.4736842215061188,0.5,0.875,0.2142857015132904,0.45229196548461914,0.0,0.0
15,0.5416666865348816,0.5594135522842407,0.8679076433181763,0.5384615659713745,0.5833333134651184,0.875,0.2142857015132904,0.45098745822906494,0.0,0.0
16,0.4444444477558136,0.49112653732299805,0.9659449458122253,0.44999998807907104,0.5,0.875,0.2142857015132904,0.45054978132247925,0.0,0.0
17,0.6527777910232544,0.620756208896637,0.8135265707969666,0.6774193644523621,0.5833333134651184,0.875,0.2142857015132904,0.4500303864479065,0.0,0.0
18,0.5416666865348816,0.5667438507080078,0.8751636743545532,0.5384615659713745,0.5833333134651184,0.875,0.2142857015132904,0.4497845768928528,0.0,0.0
19,0.625,0.700617253780365,0.6767435073852539,0.6285714507102966,0.6111111044883728,0.875,0.2142857015132904,0.44988229870796204,0.0,0.0
20,0.5277777910232544,0.5435956716537476,0.9656032919883728,0.5333333611488342,0.4444444477558136,0.875,0.1428571343421936,0.4505752921104431,0.0,0.0
21,0.5277777910232544,0.5486111640930176,0.8947126865386963,0.5249999761581421,0.5833333134651184,0.875,0.1428571343421936,0.4514012634754181,0.0,0.0
22,0.6388888955116272,0.678626537322998,0.7188290357589722,0.6388888955116272,0.6388888955116272,0.875,0.0714285671710968,0.4515978693962097,0.0,0.0
23,0.625,0.6925154328346252,0.7242008447647095,0.6451612710952759,0.5555555820465088,0.875,0.0714285671710968,0.45144516229629517,0.0,0.0
24,0.6111111044883728,0.6435185074806213,0.843434751033783,0.6176470518112183,0.5833333134651184,0.875,0.0714285671710968,0.45160412788391113,0.0,0.0
25,0.5972222089767456,0.6597222685813904,0.8057864904403687,0.6206896305084229,0.5,0.875,0.1428571343421936,0.4523218870162964,0.0,0.0
26,0.6805555820465088,0.7145061492919922,0.7118095755577087,0.6756756901741028,0.6944444179534912,0.875,0.0714285671710968,0.45270925760269165,0.0,0.0
27,0.625,0.6388888955116272,0.8580842614173889,0.6363636255264282,0.5833333134651184,0.875,0.0714285671710968,0.45304909348487854,0.0,0.0
28,0.5694444179534912,0.6199845671653748,0.8190646767616272,0.5862069129943848,0.4722222089767456,0.875,0.0714285671710968,0.4520656168460846,0.0,0.0
29,0.5833333134651184,0.66126549243927,0.7329013347625732,0.5882353186607361,0.5555555820465088,0.875,0.0714285671710968,0.4519733488559723,0.0,0.0
30,0.6527777910232544,0.7056326866149902,0.6751406192779541,0.6666666865348816,0.6111111044883728,0.875,0.0714285671710968,0.4528552293777466,0.0,0.0
31,0.6805555820465088,0.7619599103927612,0.6221729516983032,0.7096773982048035,0.6111111044883728,0.875,0.0,0.4532047510147095,0.0,0.0
32,0.6111111044883728,0.6851851940155029,0.7100675106048584,0.6111111044883728,0.6111111044883728,0.875,0.0714285671710968,0.45421233773231506,0.0,0.0
33,0.6388888955116272,0.6875,0.7361764907836914,0.6785714030265808,0.5277777910232544,0.875,0.0,0.45653611421585083,0.0,0.0
