epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4861111044883728,0.4483024477958679,1.1604321002960205,0.48571428656578064,0.4722222089767456,0.875,0.5714285373687744,0.5694604516029358,0.0,0.0
1,0.4305555522441864,0.44174379110336304,1.0427837371826172,0.4324324429035187,0.4444444477558136,0.875,0.5714285373687744,0.567424476146698,0.0,0.0
2,0.5277777910232544,0.5324073433876038,1.0551252365112305,0.5249999761581421,0.5833333134651184,0.875,0.5714285373687744,0.5650209784507751,0.0,0.0
3,0.5277777910232544,0.5343364477157593,1.0403611660003662,0.5277777910232544,0.5277777910232544,0.875,0.5714285373687744,0.5621474385261536,0.0,0.0
4,0.4861111044883728,0.5208333134651184,1.1030291318893433,0.4848484992980957,0.4444444477558136,0.875,0.5714285373687744,0.5614274144172668,0.0,0.0
5,0.5,0.4830247163772583,1.124442219734192,0.5,0.6111111044883728,0.875,0.5714285373687744,0.5614023804664612,0.0,0.0
6,0.5555555820465088,0.5385802984237671,0.9699182510375977,0.5555555820465088,0.5555555820465088,0.875,0.5714285373687744,0.5596811771392822,0.0,0.0
7,0.5,0.4996141791343689,1.0302928686141968,0.5,0.5277777910232544,0.875,0.5714285373687744,0.5590040683746338,0.0,0.0
8,0.5555555820465088,0.5721450448036194,0.8980677127838135,0.5588235259056091,0.5277777910232544,0.875,0.5714285373687744,0.5577512383460999,0.0,0.0
9,0.5416666865348816,0.533178985118866,0.9480946660041809,0.5384615659713745,0.5833333134651184,0.875,0.5714285373687744,0.556667149066925,0.0,0.0
10,0.6527777910232544,0.6994599103927612,0.6986822485923767,0.6341463327407837,0.7222222089767456,0.875,0.5,0.5551334619522095,0.0,0.0
11,0.5694444179534912,0.5027006268501282,1.0910786390304565,0.5862069129943848,0.4722222089767456,0.875,0.4285714030265808,0.5538329482078552,0.0,0.0
12,0.5277777910232544,0.5690585970878601,0.8996737003326416,0.5263158082962036,0.5555555820465088,0.875,0.4285714030265808,0.552561342716217,0.0,0.0
13,0.5277777910232544,0.5594135522842407,0.8193063735961914,0.53125,0.4722222089767456,0.875,0.4285714030265808,0.5522827506065369,0.0,0.0
