accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5571428537368774,0.5016447305679321,0.9115111231803894,0.5128205418586731,0.625,0.4000000059604645,0.6200000643730164,0.6961857080459595,0.4444444477558136,0.800000011920929
0.5285714268684387,0.4917762875556946,0.992216169834137,0.4838709533214569,0.46875,0.5,0.6000000238418579,0.6969277262687683,0.5,1.0
0.4571428596973419,0.38980260491371155,1.118295431137085,0.4166666567325592,0.46875,0.5,0.6000000238418579,0.6975621581077576,0.5,1.0
0.5285714268684387,0.5320723652839661,1.047479510307312,0.4864864945411682,0.5625,0.5,0.6000000238418579,0.697708249092102,0.5,1.0
0.4714285731315613,0.4506579041481018,1.0640184879302979,0.4285714328289032,0.46875,0.5,0.6000000238418579,0.6983209252357483,0.5,1.0
0.6000000238418579,0.6315789222717285,0.8649255633354187,0.5555555820465088,0.625,0.5,0.5799999833106995,0.6987232565879822,0.5,1.0
0.5428571701049805,0.5123355388641357,0.9175205826759338,0.5,0.5625,0.5,0.5600000619888306,0.6995897889137268,0.5,1.0
0.5,0.5,1.0652867555618286,0.4571428596973419,0.5,0.5,0.5600000023841858,0.7002530097961426,0.5,1.0
0.48571428656578064,0.47615131735801697,1.0218461751937866,0.44117647409439087,0.46875,0.5,0.5800000429153442,0.7009797692298889,0.5,1.0
0.4714285731315613,0.5098684430122375,0.9822461605072021,0.4285714328289032,0.46875,0.5,0.6200000047683716,0.7014486789703369,0.5,1.0
0.41428571939468384,0.49259868264198303,1.0314704179763794,0.3636363744735718,0.375,0.5,0.6600000262260437,0.7024295926094055,0.5,1.0
