accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5142857432365417,0.4950658082962036,0.9377847909927368,0.47058823704719543,0.5,0.699999988079071,0.48000001907348633,0.6937369704246521,1.0,0.4000000059604645
0.4714285731315613,0.49013155698776245,1.0864241123199463,0.42424243688583374,0.4375,0.6000000238418579,0.48000001907348633,0.6955172419548035,1.0,0.20000000298023224
0.5857142806053162,0.6023849248886108,0.8856724500656128,0.5454545617103577,0.5625,0.5,0.48000001907348633,0.6965826153755188,0.0,0.0
0.5571428537368774,0.5666118860244751,0.939159095287323,0.5161290168762207,0.5,0.5,0.48000001907348633,0.6977797746658325,0.0,0.0
0.5428571701049805,0.5736019611358643,0.9584542512893677,0.5,0.53125,0.5,0.46000000834465027,0.7004424929618835,0.0,0.0
0.48571428656578064,0.5234375,0.9468711018562317,0.4333333373069763,0.40625,0.5,0.48000001907348633,0.7035812139511108,0.0,0.0
0.6285714507102966,0.6558388471603394,0.7839062213897705,0.5833333134651184,0.65625,0.5,0.30000001192092896,0.707643985748291,0.0,0.0
0.6142857074737549,0.5982730388641357,0.8398012518882751,0.5757575631141663,0.59375,0.5,0.2800000011920929,0.7128551602363586,0.0,0.0
0.5571428537368774,0.5587993264198303,1.0036370754241943,0.5151515007019043,0.53125,0.5,0.3800000250339508,0.7167331576347351,0.0,0.0
0.5571428537368774,0.5386513471603394,0.9733917117118835,0.5128205418586731,0.625,0.5,0.4000000059604645,0.7203453779220581,0.0,0.0
0.4714285731315613,0.5020559430122375,0.903634786605835,0.4324324429035187,0.5,0.5,0.42000001668930054,0.7240003347396851,0.0,0.0
