epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4583333432674408,0.4471450448036194,1.035070538520813,0.45945945382118225,0.4722222089767456,0.375,0.4285714030265808,0.699944019317627,0.0,0.0
1,0.4444444477558136,0.5104166865348816,0.9690437316894531,0.44736841320991516,0.4722222089767456,0.5,0.4285714030265808,0.6916459798812866,0.0,0.0
2,0.5138888955116272,0.5304783582687378,0.9647940397262573,0.5135135054588318,0.5277777910232544,0.625,0.357142835855484,0.6789259910583496,0.0,0.0
3,0.5,0.5474536418914795,0.9020459055900574,0.5,0.4722222089767456,0.75,0.2142857015132904,0.6695972681045532,0.0,0.0
4,0.4305555522441864,0.5038579702377319,1.0567278861999512,0.4285714328289032,0.4166666567325592,0.875,0.357142835855484,0.6561371088027954,0.0,0.0
5,0.5138888955116272,0.46296295523643494,1.027122139930725,0.5128205418586731,0.5555555820465088,0.875,0.2142857015132904,0.6472793221473694,0.0,0.0
6,0.5,0.5092592835426331,0.9873059391975403,0.5,0.4722222089767456,0.875,0.2142857015132904,0.6403468251228333,0.0,0.0
7,0.5833333134651184,0.5790894627571106,0.8693090677261353,0.574999988079071,0.6388888955116272,0.875,0.1428571343421936,0.6328203678131104,0.0,0.0
8,0.5694444179534912,0.6593364477157593,0.7292264103889465,0.5806451439857483,0.5,0.875,0.1428571343421936,0.6296675801277161,0.0,0.0
9,0.5416666865348816,0.606867253780365,0.8123915791511536,0.5428571701049805,0.5277777910232544,0.875,0.1428571343421936,0.6256797909736633,0.0,0.0
10,0.5555555820465088,0.5547839403152466,0.9143804907798767,0.550000011920929,0.6111111044883728,0.875,0.2142857015132904,0.619043231010437,0.0,0.0
11,0.625,0.6608796715736389,0.8042782545089722,0.6451612710952759,0.5555555820465088,0.875,0.1428571343421936,0.6133259534835815,0.0,0.0
12,0.5277777910232544,0.597993791103363,0.9335461854934692,0.5263158082962036,0.5555555820465088,0.875,0.2142857015132904,0.6095352172851562,0.0,0.0
13,0.6527777910232544,0.7133487462997437,0.6894060373306274,0.6410256624221802,0.6944444179534912,0.875,0.2142857015132904,0.6086947917938232,0.0,0.0
14,0.6388888955116272,0.6084104776382446,0.8274917006492615,0.625,0.6944444179534912,0.875,0.2142857015132904,0.6103286743164062,0.0,0.0
15,0.625,0.6469907760620117,0.777562141418457,0.6153846383094788,0.6666666865348816,0.875,0.2857142686843872,0.6121432185173035,0.0,0.0
16,0.6388888955116272,0.649305522441864,0.7984296679496765,0.65625,0.5833333134651184,0.875,0.2857142686843872,0.6137064695358276,0.0,0.0
17,0.5694444179534912,0.5192901492118835,0.9529740214347839,0.5675675868988037,0.5833333134651184,0.875,0.2857142686843872,0.6155259609222412,0.0,0.0
18,0.5694444179534912,0.6392747163772583,0.7917732000350952,0.5641025900840759,0.6111111044883728,0.875,0.2857142686843872,0.6161429286003113,0.0,0.0
19,0.6388888955116272,0.6574074029922485,0.8402225971221924,0.65625,0.5833333134651184,0.875,0.2142857015132904,0.6171918511390686,0.0,0.0
20,0.5,0.5462962985038757,0.8849250078201294,0.5,0.5277777910232544,0.875,0.2857142686843872,0.6208781003952026,0.0,0.0
21,0.5416666865348816,0.5725308656692505,0.8972906470298767,0.5384615659713745,0.5833333134651184,0.875,0.2857142686843872,0.6247797012329102,0.0,0.0
22,0.4861111044883728,0.5497685670852661,0.8987839221954346,0.4864864945411682,0.5,0.75,0.2142857015132904,0.6299012899398804,0.0,0.0
23,0.5833333134651184,0.6157407760620117,0.8121359944343567,0.5789473652839661,0.6111111044883728,0.75,0.2142857015132904,0.6336389780044556,0.0,0.0
24,0.5277777910232544,0.5231481790542603,0.9162766933441162,0.5277777910232544,0.5277777910232544,0.75,0.2142857015132904,0.6375024318695068,0.0,0.0
25,0.5416666865348816,0.6003086566925049,0.9211543202400208,0.5405405163764954,0.5555555820465088,0.75,0.2857142686843872,0.6404399871826172,0.0,0.0
26,0.6388888955116272,0.75,0.6201549172401428,0.6388888955116272,0.6388888955116272,0.75,0.2142857015132904,0.6430948972702026,0.0,0.0
27,0.625,0.6319444179534912,0.8098973035812378,0.6000000238418579,0.75,0.75,0.2857142686843872,0.6440399289131165,0.0,0.0
28,0.5138888955116272,0.5667438507080078,0.9820296764373779,0.5142857432365417,0.5,0.75,0.2857142686843872,0.6422394514083862,0.0,0.0
