accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5199999809265137,0.518353283405304,0.9544498324394226,0.5057471394538879,0.5176470875740051,0.4866666793823242,0.48575496673583984,0.6955180764198303,0.4789915978908539,0.7916666865348816
0.4952380955219269,0.4791485071182251,0.9635547995567322,0.47975707054138184,0.4647058844566345,0.5066666603088379,0.4780982732772827,0.6940361261367798,0.0,0.0
0.5038095116615295,0.5213416814804077,0.8889366984367371,0.4892368018627167,0.4901960790157318,0.5199999809265137,0.47061967849731445,0.6992264986038208,0.0,0.0
0.5057142972946167,0.5080083608627319,0.8983216881752014,0.4911937415599823,0.49215686321258545,0.5199999809265137,0.47649574279785156,0.7036622762680054,0.0,0.0
0.4895237982273102,0.49705883860588074,0.920436441898346,0.4738955795764923,0.4627451002597809,0.5199999809265137,0.47516024112701416,0.7050530910491943,0.0,0.0
0.488571435213089,0.4973892867565155,0.9327015280723572,0.4738878011703491,0.4803921580314636,0.5199999809265137,0.46972936391830444,0.7053737044334412,0.0,0.0
0.5552380681037903,0.5550236105918884,0.8333906531333923,0.5422396659851074,0.5411764979362488,0.5199999809265137,0.47364673018455505,0.7071659564971924,0.0,0.0
0.508571445941925,0.5166394114494324,0.8733142018318176,0.49395161867141724,0.4803921580314636,0.5199999809265137,0.46785968542099,0.7093120217323303,0.0,0.0
0.5219047665596008,0.5396496653556824,0.8616489768028259,0.5079681277275085,0.5,0.5199999809265137,0.466613233089447,0.7094358205795288,0.0,0.0
0.5057142972946167,0.540145218372345,0.8418684601783752,0.4910891056060791,0.48627451062202454,0.5199999809265137,0.4689280390739441,0.7110365033149719,0.0,0.0
0.5276190638542175,0.5350890159606934,0.8564774394035339,0.513671875,0.5156862735748291,0.5199999809265137,0.4637642502784729,0.7140119671821594,0.0,0.0
0.5342857241630554,0.5473166704177856,0.8423689603805542,0.5214723944664001,0.5,0.5199999809265137,0.4611823558807373,0.7186245918273926,0.0,0.0
